,track_id,artist_id,artist_name,artist_popularity,artist_followers,artist_genres,instrumentalness,duration_ms,time_signature,acousticness,speechiness,energy,loudness,tempo,key,valence,danceability,liveness
0,3N2AIfVOq6NiTcWHIP4Oco,1p6CdzJRoicjRcSdWoB9Qc,Mitchell Tenpenny,66,24968,"canadian contemporary country,contemporary country,heartland rock,lift kit",0.0,213024,4,0.201,0.0555,0.799,-3.789,86.333,2,0.391,0.386,0.103
1,5wmw9v1S0gbT16R66NNR7N,7EekKnlf2HwNaLLpL9Cpgy,Matt Stell,57,2273,,0.0,211547,4,0.0886,0.0348,0.68,-6.316,140.013,9,0.561,0.609,0.108
2,7kCXmYJeltdnCMMsfwaCsf,6roFdX1y5BYSbp60OTJWMd,Tim McGraw,75,2498065,"contemporary country,country,country road",4.96e-05,225694,4,0.24,0.0288,0.745,-4.753,121.015,2,0.28,0.563,0.11
3,2ZYbPXhx4OCmdTsMThbSEW,147nKr9upHZSSxqCzh9j7c,Jimmie Allen,65,12298,"canadian contemporary country,contemporary country,lift kit",0.0,195053,4,0.75,0.0334,0.464,-8.72,156.051,4,0.523,0.629,0.0853
4,77a5Eu7lC3tG0Sukt2O91U,2lRH2dgU5Kk4Bc5phmII4T,LANCO,67,151728,"canadian contemporary country,contemporary country",9.45e-05,230013,4,0.13,0.0296,0.902,-6.192,124.985,7,0.809,0.659,0.0574
5,2WPE0Z7u5PafvN2aWk5pFl,2wSgVsgLUZeDJwoLcPO7ny,Pistol Annies,63,310563,"contemporary country,country,country dawn,country road,modern country rock",0.00463,174253,4,0.0189,0.044,0.871,-5.774,99.075,9,0.812,0.639,0.0439
6,1kFBLqkTuNKlspkJ1EOGjN,60gmlHZmT16wiO9GiXKYK9,Chris Janson,64,115653,"canadian contemporary country,contemporary country,country road,lift kit,modern country rock,redneck",0.0,207267,4,0.794,0.0409,0.306,-8.431,203.729,0,0.224,0.485,0.122
7,6CyJlVAEFlNdpggOLanytL,4BYxqVkZyFjtik7crYLg5Q,Chris Young,72,1217747,"canadian contemporary country,contemporary country,country,country road,modern country rock",0.0,185440,4,0.0651,0.0453,0.831,-4.774,156.034,8,0.596,0.434,0.119
8,2cxU72H3CkiHJKiJhOj1Rm,1cn7hpmFEpidzWJySGCTJF,John Gurney,55,1696,,1.3e-05,179231,4,0.137,0.0628,0.614,-7.525,80.025,7,0.508,0.731,0.151
9,0HHEbTRgMrtnGQYuKulv1u,6roFdX1y5BYSbp60OTJWMd,Tim McGraw,75,2498065,"contemporary country,country,country road",0.0,213399,4,0.0836,0.0506,0.791,-4.817,128.007,0,0.355,0.471,0.0868
10,3bDXhWsPiFTHtrsMg5faL2,0BvkDsjIUla7X0k6CSWh1I,Luke Bryan,78,3413127,"contemporary country,country,country road",0.0,235266,4,0.0104,0.0461,0.949,-1.723,159.985,0,0.797,0.513,0.154
11,6GBndDk0OEpDkmKoSBJyyK,3oSJ7TBVCWMDMiYjXNiCKE,Kane Brown,79,1071664,"contemporary country,country road",1.77e-06,178733,4,0.00261,0.0289,0.869,-4.905,91.988,4,0.433,0.549,0.29
12,02Df1JGm5Sjh2GmRAl5ClR,1UTPBmNbXNTittyMJrNkvw,Blake Shelton,75,3885175,"contemporary country,country,country road",1.32e-06,288573,4,0.309,0.0287,0.708,-7.045,111.047,11,0.276,0.628,0.109
13,7K0lR5Ngf5jkOWt1g6ut6l,3FfvYsEGaIb52QPXhg4DcH,Jason Aldean,78,2646041,"contemporary country,country,country road",0.000227,193067,4,0.035,0.0365,0.88,-4.204,144.057,3,0.483,0.543,0.304
14,6VcXUV6nNDhFHDxJbtNSWx,4xFUf1FHVy696Q1JQZMTRj,Carrie Underwood,75,2926908,"contemporary country,country,country dawn,dance pop,pop,post-teen pop",0.0,228640,4,0.0112,0.0989,0.865,-4.697,135.115,7,0.325,0.523,0.153
