,track_id,artist_id,artist_name,artist_popularity,artist_followers,artist_genres,instrumentalness,duration_ms,time_signature,acousticness,speechiness,energy,loudness,tempo,key,valence,danceability,liveness
0,6qNeBtFhG5Ir3VsotFCNrU,3SEw2qamdOWyVZtzKxWTTg,The YellowHeads,28,4217,,0.861,445833,4,0.005,0.0592,0.704,-8.552,126.009,6,0.506,0.773,0.0864
1,6w51zi8L7yqelzUiFKwDEC,7ANeFdhioipksT9lqg0Ay6,Ego Ella May,25,1566,uk contemporary r&b,0.0,187317,4,0.766,0.274,0.625,-11.31,78.131,3,0.448,0.389,0.102
2,5dL5SXXo2BGjv1VvliGcpV,4qobOrZpdUri80gScwsHfs,Bondax,51,91038,"future garage,house,nu disco",0.824,398889,4,0.0592,0.0574,0.75,-9.482,130.016,8,0.827,0.813,0.0598
3,7nH296F1YguSTuJZ7VXMu8,7GaxyUddsPok8BuhxN6OUW,James Brown,67,1191670,"christmas,funk,motown,quiet storm,soul",0.418,333653,4,0.0434,0.0478,0.905,-6.8,117.555,2,0.756,0.794,0.14
4,1XRW0FW61bznuK3XDKFiKv,45QpZznbXYo3nWy0TIhvgv,Max Romeo,52,49611,"dub,reggae,rock steady,roots reggae",0.0,206307,4,0.183,0.251,0.623,-6.158,150.585,2,0.735,0.818,0.0829
5,6KsPQBR6qHXn60g6VDP6Oi,5Y99HxXDOgGQ6diwjV7HDj,Alla Rakha,24,1509,"hindustani classical,hindustani instrumental,indian classical",0.761,947907,4,0.728,0.0989,0.911,-12.721,145.352,8,0.846,0.488,0.316
6,3bJduZ80H4n44pqMKX8GaM,1qo9Fb4nYgez0Hpfi2RuiV,Dark Sky,43,15816,"bass music,float house,future garage,microhouse",0.722,318594,4,0.105,0.0344,0.561,-11.992,123.051,1,0.283,0.622,0.271
7,6muG7Eja1J7DBTCBnNOTLH,1TIbqr0x8HoKzKBNtNN8wf,⣎⡇ꉺლ༽இ•̛)ྀ◞ ༎ຶ ༽ৣৢ؞ৢ؞ؖ ꉺლ,32,16802,,0.0203,320000,3,0.123,0.0416,0.624,-13.102,119.986,4,0.0483,0.685,0.118
8,41NLXDvpJlXHFr5DpfhZqz,3jQ8hpdQo3TCEnb5gmOtH5,Erol Alkan,40,18389,,0.917,462425,4,0.0779,0.0463,0.79,-9.573,121.997,8,0.0369,0.717,0.1
9,43AFjjpou0fSv1IVayDrIe,1jrRLqDsOOKIagQXYPq2Iv,SHEE,21,214,,0.454,360970,4,0.0246,0.0905,0.794,-10.023,124.959,8,0.392,0.578,0.145
10,1VpQ0viuGKwIUcdfdQNBwW,7JFO7bnWWApOFvTMS3NFgh,Anchorsong,40,6776,indie jazz,0.609,337053,4,0.124,0.0571,0.587,-13.266,123.998,11,0.861,0.797,0.965
11,045jKlCot2zsGhld5CrD2K,0qVSNwP5yntLl2vQnFixAx,Rory No-Mates,16,31,,0.907,355224,4,0.00455,0.139,0.485,-11.696,120.003,2,0.584,0.811,0.0889
12,3oBpnSw068uOanWrP0v1NW,4TrraAsitQKl821DQY42cZ,Sigrid,70,245027,"dance pop,norwegian pop,pop",0.482,248006,4,0.00247,0.0807,0.534,-10.157,128.011,7,0.0814,0.834,0.113
13,2Sjb9Ns7Aj2GbHDpDe0wOX,6BDLwOIauGwERNYxaOciyq,Marquis Hawkes,40,5805,"chicago house,deep house,deep soul house,disco house,float house,minimal tech house,tech house",0.839,414795,4,5.57e-06,0.0718,0.877,-7.414,126.99,2,0.0356,0.722,0.073
14,2RTMAscRZBum7QS2dWHI5c,0AEi1DK5ehyvkZzOUlqEVz,Tiger & Woods,36,10533,nu disco,0.396,419425,4,0.0171,0.17,0.571,-7.595,116.002,11,0.637,0.934,0.0548
15,1tnWRkUWav9cSYj9tOCQEI,0g3NiCRhEv7M4SEDMrpItN,Totally Enormous Extinct Dinosaurs,52,119591,"alternative dance,dance-punk,indietronica,new rave",0.309,401263,4,0.000539,0.0424,0.902,-4.52,126.016,0,0.0341,0.616,0.304
16,7nkQKkwybFY2zPdHF9xWxR,08jywfUS0hp8XYlYs0cvz8,Rampa,48,14365,"afro house,deep disco house,deep euro house,deep melodic euro house,microhouse,minimal tech house,minimal techno,tech house",0.888,581403,4,0.0587,0.0396,0.666,-13.517,119.999,7,0.0683,0.599,0.118
17,7bCKtwq1Xwve3NLFehRMQY,1JV4iC1UhplRE8RFr8Q9n9,Paradis,53,48844,"filter house,french indie pop,french indietronica,nu disco",0.62,261573,4,0.11,0.096,0.839,-8.088,111.002,11,0.58,0.79,0.123
18,4X4kchb1CBCRqNKOkJda3T,0sklgkoO5JeS7YNhHS5EmH,Calibre,49,33219,"drum and bass,drumfunk,jungle,liquid funk,neurofunk,uk garage",0.274,306683,4,0.0011,0.224,0.622,-9.657,87.474,7,0.0863,0.7,0.293
19,2P2ihKmRnY4FA6MMlkOl0t,4p8fvQcLMWToTpmezUb8T5,Finn,45,1537,,0.454,155449,4,0.0122,0.0897,0.681,-7.906,124.01,1,0.632,0.793,0.0807
20,6meb01LoSemujL2bD1gNXy,30Y7JOpiNgAGEhnkYPdI1P,Talvin Singh,34,14432,world fusion,0.826,276213,5,0.00733,0.0637,0.977,-5.22,106.86,6,0.331,0.302,0.128
21,2ySqoScoL7uRzR9xeWcWXN,1VSblGhx4EHbS6Zmw3rGk8,Echo Knight,4,155,,0.594,286000,4,0.00552,0.081,0.979,-4.292,134.989,1,0.464,0.639,0.864
22,5NxIGscDRyOZTXzOZ9Uhcc,0GH3NHvWddE49Egn2D5aRg,Brame & Hamo,42,4323,"deep house,deep soul house,disco house,float house,minimal tech house",0.811,385010,4,0.000147,0.0378,0.73,-8.744,130.019,9,0.229,0.632,0.0816
23,0zRjEgco7dIbKrLkiS49O9,3KtaBB3asBs44O4h3xx2V0,Hammer,39,2946,,0.937,367500,4,0.00144,0.0542,0.494,-10.959,128.019,8,0.207,0.798,0.0484
24,7BzrK9gZ8IOK3LK9PH2Y1F,5B9vWdtlNqK2UKM6MdE0WN,Kiwi,31,1712,,0.939,369300,4,0.0707,0.0508,0.924,-8.572,125.005,7,0.0665,0.771,0.073
25,5veNZCICsWMKLzykjlWurt,6P86FLVAK4sxu8OhyQJBvH,Kaitlyn Aurelia Smith,44,25140,"ambient,art pop,chamber psych,drone,electra,experimental pop,fluxwork,fourth world,freak folk,mandible",0.892,497500,1,0.108,0.0431,0.662,-10.18,120.001,6,0.731,0.662,0.097
26,3sPWp1BsnE83jaDaHz0eVN,2BRIfQ1ys3QiaQTD3uIjf8,Fold,23,914,,0.83,410750,4,0.000153,0.11,0.876,-11.048,132.009,8,0.182,0.794,0.129
27,2m2ss3tGqy4b7euN7aVm5Q,67tocPg0kong7iBiBWQiFH,TEE MANGO,28,1347,,0.185,345169,4,0.173,0.133,0.63,-8.104,122.934,9,0.938,0.847,0.267
28,5GOYSK6UMXF3rG6sYUoJ2j,5WC39BbxTknN8rIumMiVh9,Young Romantic,45,346,,0.0268,188439,4,0.00578,0.0617,0.793,-7.546,123.97,2,0.895,0.791,0.25
29,6ueAbEh6yBso6QCjrqHuTI,5wZOrGWdg4hq7KIRMupJdI,Lone,46,42799,"bass music,deep house,downtempo,electronic,float house,fluxwork,future garage,intelligent dance music,lo-fi house,microhouse,outsider house,vaporwave,wonky",0.836,473999,4,4.27e-05,0.0359,0.849,-8.773,129.99,10,0.328,0.654,0.111
30,5dcVxYeMld130Ink6Kzy0A,6mn2bA8ndJUuJVJE8WMvbK,Stefano Ritteri,23,320,,0.0364,380488,4,0.0643,0.0602,0.91,-7.628,123.011,6,0.833,0.821,0.19
31,6ERdPHlTmbSsNvSn7XlkzK,6pJY5At9SiMpAOBrw9YosS,Folamour,47,14058,"chicago house,deep house,disco house,float house,lo-fi house,minimal tech house",0.24,609131,4,0.0369,0.0793,0.686,-9.066,120.508,7,0.341,0.865,0.0813
32,7GkVQ8u2hJ1xMTSTqVZj2M,27cAR2QA0zM5v0KL9JNWwe,Adelphi Music Factory,27,93,,0.00116,182883,4,0.00422,0.0557,0.962,-4.044,129.944,9,0.359,0.51,0.587
33,2ElaXJRkdHbqvx7FIgf3mT,3bwbfpfkk1D1cHy7XZ97vF,Mark Archer,21,305,acid idm,0.682,277687,4,0.00129,0.0633,0.913,-7.505,125.005,7,0.34,0.737,0.0798
34,7lLJhqFgNX8UQdt7R9VXQm,2FPeVdIIXD9Wb9Kbn1Hyz6,Brookes Brothers,51,22520,"drum and bass,jump up,jungle,liquid funk,neurofunk",0.835,237241,3,0.000166,0.0391,0.859,-4.465,116.004,1,0.0369,0.509,0.0813
35,0F9Ac5xPqXI5mbAQAIAPJC,45WBMkHcnEfTXbct9NGYQx,Discrete Circuit,20,211,,0.917,312038,4,0.000175,0.0841,0.755,-10.356,129.004,11,0.192,0.736,0.156
36,73GhZu2dr1h6RdpiWFJx1j,69NjLU6rit8q9XEjL50BOj,Mint Royale,41,18181,"big beat,breakbeat,electronic",0.337,208800,4,0.000663,0.0462,0.935,-6.466,130.966,0,0.377,0.529,0.0974
37,6qFDH5YRsAVhoQMBie2EnU,5nX11e0cLSEndLBKwcLvsG,MEL,27,1066,,0.875,406616,4,0.0731,0.0811,0.919,-6.75,124.027,4,0.491,0.714,0.437
38,4cmDlTGjfUuG5lHIB1K7U5,50fez5agr7swV7x5p4FzRN,GONNO × MASUMURA,18,314,,0.897,599133,5,0.00608,0.0482,0.788,-8.812,127.001,10,0.281,0.311,0.192
39,0TsXdSKxK3Snezeuw88RnO,3TQ2taKTip3uFICbu5aIJq,Jesse Bru,34,2296,,0.503,445800,4,0.108,0.158,0.482,-13.008,119.0,9,0.382,0.833,0.106
40,4tuD9530wQoijK2ZSSKfmM,5FMcKm7A4LRwIJnkzuKZFt,Johannes Albert,31,881,deep soul house,0.919,412617,4,0.0652,0.0515,0.932,-8.288,121.503,10,0.527,0.751,0.0853
41,7JNPieWnSb592Uh0l339p5,2ZvXaOrinJFZDexa3fWqMZ,Shit Robot,33,16213,alternative dance,0.864,374306,4,0.0501,0.115,0.723,-7.895,116.004,2,0.297,0.801,0.108
42,2iEg4pdcSkk5FrDMHHfIkI,2enNMBArUbDhmTopWMVWHr,Map.ache,22,1062,,0.799,441000,4,0.000276,0.0868,0.606,-10.75,127.01,9,0.609,0.825,0.0817
43,0i5AJ2udpwZMIh2WAaVnpM,0MkFo9LEWyquVxL1YZFVkv,Tightshirt,21,286,,0.89,403026,4,0.0128,0.21,0.7,-8.946,120.075,10,0.657,0.755,0.103
44,0ku0iU7ziBVICyvmsIfvaN,5yP54uGWok9LAIYdH7tz5p,Subjoi,29,2177,,0.00308,381765,4,0.537,0.269,0.731,-8.544,121.028,5,0.533,0.823,0.154
45,4nECfEGYb5n87hopb4Yql0,5gb4ojamKytrOoHb7Jgjb2,Bleaker,5,125,,0.765,313459,4,0.000111,0.0582,0.979,-6.748,134.993,7,0.742,0.792,0.0678
46,1bvPCWaUta9eweGVJHtXg4,2exkZbmNqMKnT8LRWuxWgy,Moderat,61,372424,"alternative dance,electronic,indietronica,microhouse,minimal techno,new rave",0.897,330493,4,0.00324,0.0472,0.741,-8.686,117.99,9,0.274,0.637,0.961
47,1Z5B5x1vsgwmR6M4B8ndwU,5XenQ7XfcvQdfIbpLEFaKQ,GoldLink,73,399403,"hip hop,indie r&b,pop rap,rap,underground hip hop",0.00872,277896,4,0.0132,0.0666,0.67,-7.407,113.007,2,0.449,0.832,0.28
48,3U8Am7iu1G8Tm2NxOH0vjJ,09IyYsqi5V7SxQHKKvu4aW,Yaleesa Hall,23,702,,0.926,367614,4,0.00062,0.0491,0.788,-12.453,131.99,10,0.423,0.779,0.0733
49,6bKlpIYZCsbUOzHfEjcYNz,4zPK0bsftMrzNE7XydmxEh,Krankbrother,30,2416,,0.837,565680,4,0.00523,0.0469,0.596,-9.762,122.998,5,0.13,0.644,0.226
50,1zO2KtBH30XYyyG5d7g3Yt,5vfEaoOBcK0Lzr07WN8KaK,Darius,55,80466,"filter house,nu disco",0.297,160800,4,0.494,0.0954,0.539,-10.533,81.949,11,0.173,0.445,0.0874
51,1dKIQHTNhivQ1tZAanwfwM,0pQnT6l8EyyRsh8vQuR8AS,Marijus Aleksa,8,111,,0.88,492245,4,0.205,0.0937,0.544,-15.149,115.946,6,0.15,0.565,0.0686
